1,92,1,74,1,101,0,0,1
0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1
2,62.5,4,67.5,4,93.75,5,28,1
0,0,2,74.5,2,105,1,16,1
1,42,1,20,4,40.5,0,0,1
1,44,6,61.5,6,78.66666666666667,4,31.75,1
0,0,2,69.5,3,73.33333333333333,0,0,1
1,91,1,80,3,63,0,0,1
1,12,4,55.75,6,61,6,36.833333333333336,1
0,0,2,63,2,101,0,0,1
1,6,0,0,3,28.666666666666668,0,0,1
1,119,5,61.4,6,83.16666666666667,3,42,1
0,0,3,40.666666666666664,2,37.5,0,0,1
0,0,1,33,2,48.5,0,0,1
1,82,3,53.333333333333336,6,53.666666666666664,0,0,1
0,0,2,60.5,2,89,0,0,1
0,0,1,71,2,72,4,25.25,1
1,48,2,48,2,69,2,32.5,1
1,49,5,60.6,5,80.6,4,26.75,1
1,60,5,69.4,6,91.66666666666667,0,0,1
1,75,3,79,4,97,0,0,1
0,0,0,0,2,47.5,0,0,1
1,100,3,76,3,109.66666666666667,5,32.8,1
1,53,2,86.5,4,63.75,2,71,1
2,74.5,1,71,1,119,0,0,1
1,106,2,81,3,94.66666666666667,4,29.25,1
1,83,1,68,1,92,4,25.5,1
0,0,6,59.333333333333336,7,72,1,6,1
0,0,2,59.5,2,83.5,1,28,1
1,88,2,65.5,4,61.5,5,35.8,1
0,0,3,54,6,65,2,37,1
0,0,3,75,5,73,1,37,1
1,55,2,73.5,3,75.66666666666667,1,40,1
1,101,1,79,1,104,0,0,1
0,0,3,66.33333333333333,4,81,1,34,1
0,0,1,83,1,107,1,38,1
1,72,1,58,2,71.5,0,0,1
1,81,1,66,2,67.5,2,31.5,1
0,0,2,97,2,129,3,27,1
0,0,2,86.5,3,98.66666666666667,0,0,1
0,0,2,75.5,2,121.5,0,0,1
0,0,3,71.66666666666667,5,87.6,0,0,1
1,61,2,67,3,87.33333333333333,0,0,1
0,0,2,74.5,3,95.66666666666667,0,0,1
0,0,1,56,3,85.33333333333333,1,7,1
0,0,1,57,1,102,5,25,1
0,0,2,77,2,127.5,2,29.5,1
0,0,0,0,4,34.75,0,0,1
0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1
1,69,4,55.25,4,77.75,7,32.714285714285715,1
3,60.333333333333336,4,50.75,3,94,0,0,1
2,49,5,65,5,84.2,4,42,1
0,0,4,70.25,4,91.75,5,29.8,1
1,38,3,44.666666666666664,4,56.75,1,41,1
1,63,1,81,1,97,0,0,1
0,0,4,70.25,4,92,6,32.166666666666664,1
0,0,0,0,0,0,0,0,1
1,73,1,80,1,120,0,0,1
0,0,2,63.5,3,72.33333333333333,5,38.2,1
0,0,3,60.333333333333336,3,78.66666666666667,0,0,1
0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1
1,3,0,0,3,36,0,0,1
2,81,3,55,3,85.33333333333333,5,28.8,1
0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1
1,65,5,60.2,5,89.2,3,25.333333333333332,1
0,0,4,46.5,4,76,1,30,1
0,0,3,72,4,82.75,2,32.5,1
1,108,1,102,1,127,0,0,1
0,0,3,63.666666666666664,4,62.75,5,33.2,1
1,64,3,73.33333333333333,3,101,1,38,1
2,69,3,51.666666666666664,4,66,0,0,1
0,0,5,56.8,7,63.714285714285715,5,34.6,1
0,0,3,74.66666666666667,3,85,1,36,1
1,65,4,56.75,4,74.5,5,28.6,1
0,0,2,80,2,103.5,2,31.5,1
0,0,3,74.66666666666667,4,82.5,3,32.333333333333336,1
0,0,4,48,8,57.125,0,0,1
0,0,6,61.333333333333336,7,83.14285714285714,1,53,1
0,0,4,71.75,4,118.5,1,38,1
2,40.5,2,45,2,52.5,0,0,1
1,14,3,52.666666666666664,3,69,1,32,1
0,0,7,57.857142857142854,7,85.57142857142857,0,0,1
0,0,7,58,7,84.42857142857143,2,35,1
0,0,3,112,3,119,1,38,1
0,0,1,88,4,46.5,0,0,1
1,46,2,71,3,82.66666666666667,0,0,1
2,55,3,58.333333333333336,4,80.25,0,0,1
0,0,5,70.4,6,87,1,32,1
0,0,4,69,6,76,1,33,1
1,177,2,85.5,2,99.5,1,22,1
2,59.5,1,71,2,75.5,6,33,1
2,81,5,53.2,5,78.4,2,53.5,1
0,0,7,53.857142857142854,6,96,3,32.666666666666664,1
0,0,2,47,2,63.5,0,0,1
0,0,5,72.8,5,89.8,0,0,1
0,0,5,66.8,8,61,0,0,1
